Class Index,Title,Description
6,-,"One of the most interesting restaurant interiors in the city. I would put it at the top 3 (katana and the pump room) the food at lunch was above average. Ambitious but but fell a little short of the mark. Salad was good, the soup was a little cool and thin texture, the tartine and duck confit were a good choiice but the were comprimised in their composition with the bread contributing too much.  I will go back for dinner. Wine by the glass should gave two or three more choices."
6,-,A good soccor pub. Haz all the requisite beers and pub food to make it appealing
8,-,"Great place to see some bands, or if you're not into whoever's playing, you can sit at the bar, and not even really hear the band, because the music room is pretty separated.  The bartenders are great.  Beer selection is pretty good."
3,-,"Great food, cold drinks a d a lot of fun here. Bonus it was karaoke night."
6,-,A typical gastro poll ub
6,-,"could be better, but pandemic hampered. The Jerry's in Andersonville was a better judge. did the space well. try again"
4,-,Loved it
5,-,Had the staff told me to call StubHub when I got fake tickets my night may have been salvaged instead of missing seeing Tool
3,-,"Absolutely awesome! Great place to buy and/or service your vehicle. Good selection of quailty imports and domestic cars. Just stop in and buy one. Worked with Brian, easy process."
7,-,Best airport food you can get. As good as Xoco.
8,-,"Nice place, but I found the same dryer for much cheaper on Amazon."
5,-,"150+ people virtually on too of each other to get in with at best 50% mask usage. If I'm gonna get Covid it's not gonna be here, no thanks"
6,-,"Triple threat. Restaurant, sandwich takeout and coffee bar."
7,-,Not exclusively vegetarian. Veggie burger and faro salad were really nice.
5,-,Bad experience. Cuticles left bleeding
3,-,"Typical breakfast foods, nothing special or different on the menu. Coffee is definitely very weak."
7,-,"Tried this new space out today. Really good chicken shawarma sandwich. Service is top-notch, they gave me samples of falafel and baklava to try out. Interior is completely redone and looks great."
3,-,"Perfect dinner, thats really all that needs to be said."
9,-,"This is a great bar for live local music, rarely a cover, and cheap beer. Cash only."
3,-,"Got gas, that's it. Never went inside."
3,-,"Very unique place, coffee and bakery items in the first room for enter. Very nice decor with numerous hand painted murals. Comfortable surroundings with a friendly hostess greeting you as you walk inside. Additionally the are two separate restaurant seating areas located in an adjoining room. Lunch and dinner menus offer more than enough varity to satisfy your tastes. I recommend this place highly based on what I observed while there. Food was really freshly made and quite tasty."
8,-,"Went here for trivia one night.  Place was meh, trivia was meh."
1,-,The definition of a good neighborhood bar .
5,-,"Good drinks, minimal snobs and yuppies, a rare great northern facing view"
8,-,"I've been here several times, and the burgers are good, but I really loved their fries and house made ketchup.  I'm not even really a fan of ketchup, but their's was so delicious!  Like so good, I always bugged them to give me some to take with me, but they never would.  Well, on my most recent visit I learned that they changed their menu, AND they changed the fries and ketchup!  They now seem to be whatever generic Gordon Food Service fries and Heinz ketchup.  SO BUMMED!!  Unless they bring back the old thin fries and ketchup, I won't be back.  There are much better burgers in the area, like Links and Small Cheval."
5,-,Good view. Wish the Hawks we're doing better
4,-,Real good food
2,-,Bali vibes this place is coconuts!
5,-,Great takeaway food. Fresh and healthy
3,-,Was looking for a Wescott diffuser. They didn't have one in stock.
4,-,The beef sandwich was good and the fries were delicious
7,-,"Food is ok, nothing special. Fine if you are in a hurry."
6,-,"A surprise.  It was good and comfortable with a satisfactory wine list, not overly marked up. It was modern and clean and if i was looking for a regular haunt i would choose this place in a heart bit.  The menu is share plates and fairly standard gastro pub, but it was prepared well"
6,-,"GOOD CONCEPT, BUT Disappointing.  Could be Covid related but with only a handful of customers it wasnt care. Food cold"
6,-,A slightly different take on a coffee shop. They feature fresh made chocolate versus a bigger assortment of food and pastries. Also has those  there is also a glass enclosed meeting room for guest s
1,-,Love the pizza
7,-,Food and service are fine. Place is ridiculously large.
3,-,Opted for their Calzone special served with a side Caesar salad for $14.50. Salad very crisp and flavorful.  Calzone was so tasty I almost ordered a second one.
7,-,One of the better beer selections I have seen around Chicago.
9,-,"Great food, and there's beer!"
5,-,Was expecting more food for the prices. Space was nice
3,-,So nice to find a place open for lunch. Plenty of inside room to social distance and plenty of outside seating with fireplace burning for your comfort. Definitely support this business and enjoy a great lunch.
7,-,"Fairly standard whole foods, larger than the West Loop location."
5,-,Great change from a typical bar.
8,-,"One of the worst bars I've been to in Chicago.  The smell punches you in the face 3 seconds after you walk in the door.  The bathroom is DISGUSTING!!!  I know Anthony Bourdain loved this place, but I can't even like this place a little bit.  Except for maybe the bartender.  He's a nice guy.  He's the only reason I'm giving this place one star.  It should be a zero."
6,-,Excellent.  Musuems have the best little restaurants throughout the world
6,-,Excellent. Everything was first class
7,-,"It's a home depot, pretty standard."
6,-,A small European style coffee bar with 4 small tables. Adjacent to a hotel where you can probably sit in the lobby
6,-,"Good seafood and a good, but not great happy hour.  Part of swift and sons.  You can havr half the surf and turf then go to the dining room switch to red wine and get yoiur turf."
9,-,"Awesome shop! Very friendly, accommodating staff! Blew a tire on my RV on the interstate, limped it in to the shop. Ended up replacing all 8 tires, for safety and piece of mind. Since I wasn't planning on spending this much, they helped me out and found a discount for me. Highly recommended shop! Very knowledgeable, very professional! Great work!"
3,-,Best burgers in Springfield hands down!
4,-,Good stuff
6,-,A haircutting factory. Will see after two days how it turned out
7,-,"One of the better steaks I have had in Chicago, and definitely one of the best 2 or 3 steakhouses in the city. A person in my party did send one back one visit, but otherwise food and wine were all high quality and done as ordered. Service was very good."
5,-,If you like pastries and coffee feet in here now
7,-,"Lunch spots have ridiculous lines, be ready to wait."
6,-,A local breakfast option. Old fashioned. Good ordinary food
7,-,"Awesome displays, interesting books and gifts. Don't miss the massive downtown model."
2,-,I came for brunch and there was a DJ so the place got pretty crazy. If you're looking for a good Sunday funday this will be a good place. The rooftop is the best part of this place if you can find a table.
1,-,100 bucks or more for a stuffed animal
6,-,A quaint old bar with plenty of atmosphere and good but not great food. A good beer list and pretty fair ribs
3,-,Had to stop in and grab a gyro before dinner something to hold me over. Foods delicious here.
3,-,Stopped in to buy the Nature Select brand dog food and some treats. Owner is very helpful and a great guy to chat with. Recommend!
3,-,"Locsted on Navy Pier and the pier is crowded today. Had lunch here, it seemed no sooner than we placed our order the food arrived. Wasn't too bad, it was hot but you can really tell it's all about turning over the tables and on to the next customer."
3,-,"Not impressed with the greeting I received. I want a specific car and express that. Here let me show you something else. Uh NO, I'm done here, moving on."
2,-,Best bbq in Chicago
3,-,"Good prices, I only buy fruits veggies and meats, pretty much skip the center of the store."
6,-,Afrench market standby. THE FRENCH MARKET IS A GOOD place to get a varied menu which is generally at least good.  Its been around a while and the vendors chane but you'll always find something to delight you
1,-,Good service but who likes the dealer?
6,-,One of THE WORLDs finest
9,-,"Good prices, good food, good place for lunch! Large parking lot, easy to get to from the interstate. I love the chili, which you can get on anything it seems! Usually has sone decent deals, so you can eat for cheap here!"
3,-,"Wanted a couple of tacos. Told they have a special loaded tacos for $1.00. Sure I'll try them, you have a choice of regular or spicy. I had spicy which I guess was because of the jalapenos on it.  Not bad for a dollar but very sloppy to eat. Make sure to grab a fork and at least 4 napkins. Would I order them again, my answer is no. I'll stick with the regular hard shell tacos."
9,-,"Awesome place! More than just a ""meat shop"", this place is like a small grocery store! They've got anything you'd need for any type or size of cookout, all in one stop! Awesome prepackaged items from other local businesses as well as some national brands. Huge meat selection in the cases, as well as a nicely stocked deli case! BEST LUNCH IN TOWN!!! Their outdoor grill, serves from 11-2 M-Sat, is cheap, FAST, and tastes amazing! HIGHLY RECOMMENDED!!!"
3,-,Lunch was a double burger and pulled pork sandwich.  Perfect!
1,-,Lots of neat shopping
3,-,"Just a grocery store, I only buy the sale items"
3,-,"It's a dollar general, nothing special."
6,-,"City mall with limited, but specialty shops and good food options"
6,-,"First time to this Cajun New Orleans place. Was initially put off because they didn't have oysters, but made for it with a superior seafood gumbo. The real pleasant surprise was a sampling of four absinthes. All the required trimmings. It was great. Also had boubon, brandy"
7,-,Since the footprint isn't too large you have to go up and down the floors to see everything but the shoe selection is fantastic.
5,-,Good friendly staff
5,-,"I've had good experiences here but something has happened recently under the new owners. I ordered a beer and a shot of bourbon, I was able to sip my bourbon easily because it had to have had at least 20% water in it. That should serve as a warning if you're getting cocktails here."
1,-,Pizzas good. Staff is good
7,-,"Lines can be long, but worth the wait. Tried the beef ribs, pulled pork, tamales, frito pie, with cole slaw, broccoli salad, and spicy pickles. None of the items were amazing, but the beef ribs and frito pie were definite hits and nothing we tried were misses. Prices are a bit high for drinks."
1,-,Who the hell goes to pekin that doesnt have too
7,-,"Beet and goat cheese salad was very nice. Pizza crust is very crispy and has a whole wheat flavor to it. Generally small, definitely need the 16 in even for two people."
3,-,Overall we had a good time. Place is nice but pool tables need recovered as they were dirty from.spilled drinks. I would caution you if you are easily offended it's probably best to not frequent this location. They played loud very sexually explicit music leaving absoutely no doubt  what the musics message is.
7,-,"One of the better beef sandwiches I have had in Chicagoland. Had the combination and the sausage was a standout. Prices are ridiculously low, under $5 for their largest sandwich. Only one flavor of Italian ice, but still very tasty."
2,-,Good dive bar in bucktown. Fantastic beer selection and eclectic vibe. You will have people watching sports and other people on their laptops having a beer.
7,-,"Good, healthy options for breakfast and lunch."
9,-,Great food! Tons of beer and liquor. Right on the river front!
2,-,This place is awesome great games for free with a good beer selection
2,-,Batting practice spot if there's no Cubs game
3,-,"Nice place, quite pricey"
7,-,With Dominick's gone this is now the best place in the West Loop to pick up necessities and any place that has Google Wallet support is cool with me.
3,-,Time for the annual Candle Walk. This is always a great time strolling through the village using low light candles.
6,-,One of three locations. All serve respectable pub food.
1,-,Better than morton
7,-,"Good omelet and skillet dishes. Large portions, ingredients seem high quality, a notch above regular breakfast spots."
4,-,Very restful
8,-,"This is my ""go to"" fun place to take people that are visiting from out of town.  Great beer line up, and tons of fun games."
7,-,"Wanted to check this place out for a while and finally went with a few friends. The space is pretty nice, plenty of seating and you can have a conversation without shouting. Beer selection is good and the bourbon/scotch selection is better than most places. We ordered the jalapeño cheese fries first. There were a few crumbs of pepper and I couldn't find any cheese. Fries were a bit soggy, no indication they are made to order. We then had a pizza that was pretty terrible. Something about the sauce was way off. Making an OK pizza is not that difficult, this was below OK. We did not finish it and did not take the leftovers. Service wasn't awful, but we had to remind the server about our order a few times. If you only go to drink this may be a decent place, but I cannot recommend the food at all."
5,-,"Best food in old Town, friendly staff"
6,-,"A kosher pizza place in the neighborhood.  Alright, but Kosher"
6,-,A reliable stop in the south loop. Always good with an interesting menu
1,-,Customer service was better than Morton
6,-,A classic Chicago stop. Good bar and German food..
6,-,Part of the Navy Pier complex. A good park.
3,-,Met with the actual owner who assited me in my vehicle search. Wow we had a great conversation and I really appreicated him taking his time to just talk. We eventually got around to the vehicle. Highly recommend this dealership.
3,-,"My wife and I stopped in for a pizza one night. They have a great selection service was quick food was tasty, yes we go back again."
7,-,"Decent tapas, the Nigam salad and spinach cigars were standouts."
7,-,"Tried the new brew pub about a week after the grand opening.
Good: Very large selection of Ballast Point brews on tap at good prices and different sizes so you can easily sample. Food was also pretty decent, they did a good job with their take on the Impossible Burger however nachos without cheese is...odd. Definitely going back to try more of the beers.
Not Good: The ordering system is bizarre. They have servers going around, but you have to order and pay at a counter similar to a fast food place, and you can't put in drink orders there (except for soda). You can start a tab and then you have to take further drink orders to the bar. They bring the food out to you and I was asked if I wanted additional drinks later...so they do sort of have table service. Really, really weird."
4,-,Really good food and great service
4,-,Really nice and clean facilities
8,-,"Nice spot.  Tons of TVs.  The briskette was great.  The bartender, Devin was awesome.  I'll be back for more BBQ."
7,-,"Typical Trader Joe's, can get really tight to move around when it's busy."
8,-,"HUGE beer selection, with 100ish beers on draft.  Just had a couple beers, and some truffle fries, which were tasty.  Bartenders were cool.  Decor is really nice."
6,-,"There are many tapas in Chicago,  this one is one of the better and its on the south side below the loop, near cermak.  A complete menu with a good wibe list.  Very big portions for tapas"
7,-,Great pizza. Kind of like Neapolitan style but with a much heartier crust that can support toppings. Really good faro salad as well. Recommended.
3,-,"Wow was this a good tenderloin, not pounded super thin, a buttermilk style batter dredged  in Panko crumbs. Served with fair style fresh cut fries. Flipping delicious! Craft beer samples. Nice place to enjoy a meal."
6,-,A convienant dot kosher restaurant
6,-,"All the wine bars are fairly good, each with its own signature.  This one is among the top"
2,-,Best view in Chicago
7,-,"Good service, crazy noodles and curries are good."
6,-,A good place for a quick bite. Coffee and lunch.
7,-,"Was there for a large party with fixed menu. Food was all done very well, butternut squash ravioli was the highlight. Good service as well."
4,-,They've got what you need
7,-,"Chicken shawarma was ok, meat was a little dry."
3,-,So please come hungry and sit back and enjoy an amazingly delicious breakfast. Food is simply wonderful and the individual portion size your served is really enough for three people to share. Food served in a timely manner and the the servers were all quite nice. This was a very relaxing breakfast. Coffee bar is worth checking out.
1,-,We were told the advertisement we had seen and tried to use wasnt valid how ever it was currently dated in the add
7,-,"Decent price and filling options. Fast food Mediterranean, so not the most authentic, but good for a quick lunch."
6,-,Great hamburgers good bar
9,-,It's schlotzsky's
6,-,"One of the many local playhouses.  They continually have first rate performances and a wide variety of types of play.  It is small and comfortable.  The building is special, designed by jeanie gang. It's perfect for it site"
7,-,"Great contemporary American menu, creative without being avant-garde."
5,-,Best spot in the hood for Kate night beers
6,-,"It is a great donut store, better than dunkin"
3,-,So much history here. This is an all weekend trip which still doesn't provide enough time to really take in all the area has to offer. One of the places we really enjoyed here is the old Blacksmiths Shop where you literally step back in time. The shop has been there since before electricity came to the area. The shop was the first in  Galena to have electricity. The used it to put overhead lights in to help the blacksmiths. Make this one of your destinations when in town. Its located in a bright red building along the waterway.
7,-,Nice location for the indoor farmers market in the winter.
7,-,Impossible burgers take a while since it doesn't seem like many are ordered but they are worth the wait. Good service.
3,-,"Lunch with the wife today, 2 for $20 steak special. Nice lunch, good food at a reasonable price. Seen a comment here about the 2 for $20 price being deceiving (Leland) I don't see it, bill attached."
5,-,Fresh pizza and good prices
6,-,A good old fashioned book store where you get the sense of duration.  Coffee area and events
8,-,Ok beer selection.  Great specials for happy hour (half off apps).
5,-,"Great selection of beers and Whiskey, great food too. Come for wrestling or UFC for a truly amazing experience"
7,-,"Spend the extra few dollars for the steak tacos. Very, very good."
5,-,Ventilation in the theater triggered allergies
7,-,"Great thin crust pizza. Crispy, cracker style with a bit of cornmeal thrown in. Friendly staff."
5,-,Austrian coffees and pastries. All are good thing gs
5,-,Amazing food and friendly staff. Get the wings
5,-,"Best chicken sammich of my life. Don't be embarrassed, you will make noises eating this"
8,-,"This place is great.  Cocktails are fun, and beer line up was cool.  It's a triangle!"
3,-,It was around 8:00pm when we pulled in to get some dinner. Walking in I noticed the place was bright and inviting. Staff greeted us and seating is in a booth in the min dinng area. Several people in here for 8pm. Our waitress Maddie was very pleasant and was very prompt with drink orders and delivery. Food order placed and it didn't seem long at all we were presented with some good looking food dishes placed in front of us. The food was excellent. Thanks to the staff as this was an enjoyable dinner. Please do yourself a favor and stop by and enjoy something from their menu.
4,-,Try if you will
6,-,One of the major Chicago breakfast chains that close by 3 and offer breakfast all day.  Yolk is probably the biggest and it is bright and uplifting with breakfast well done.  Service could be a little better
8,-,"Decent German beer selection, but for some reason I usually prefer Ric's when I'm in Lincoln Square."
1,-,Always very cool
7,-,"Different atmosphere than classic steakhouses in the city, but the steaks hold up with the best."
8,-,"They're making some great beers, and the food is awesome, too.  Excellent burger special on Monday nights."
6,-,"A small noisy trattoria that has a lot of atmosphere. Not for everyone, but a genuine place.  Food is excellent with a good wine list. Spicy mussels we're excellent and grilled trout was well prepared"
6,-,"A great place for everyone. It is kid friendly, safe and above all immaculate.  All the latest in race track set uo, with betting in everyway you can imagine. In additio. It has track feeds fro. Around the country.  The low end food is barely passabe, but it improves from there. Go to the restuarant if you want a r es al meal"
5,-,Try the local stuff
1,-,Worse public transit center I have ever seen
6,-,Typical Filipino food. It was prepared well but it lacked a character
3,-,"I had a cold beer and a Southern Fried Chicken sandwich, Offered with a sald or fries. I opted for salad and was told its a small bowl but coulf be upgraded for an additional $1.49. No problem lets upgrade. Salad served in a larger bowl with a very shallow depth. Appears to be more than it really is. Illusion for sure. Sandwich looked great on menu photo. In person it was highly disappointing. Not a busy night at all so no reason to serve sub par food."
8,-,"Full disclosure, I work around the corner, and go here usually twice a week.  Great beers, great pizza, and great bartenders.  What else do you need?!"
3,-,My preference in Springfield for a quality store. Fresh foods!
3,-,Dining alone as the wife is babysitting. The name is somewhat misleading it is more oriented to Asian Thai food. Food here is prepared fresh upon ordering. Place is on the smaller size very clean with pleasing decor. Staff is friendly and outgoing. I have enjoyed this place on numerous occasions and have never not had a good experience with the dishes I've tried. Delicious.
7,-,"Marcus knows what he is doing and if you are remotely interested in track/fixed/single speeds, this is the place to go.  Repairs and other work is done at very reasonable rates.  They aren't there to try and sell you something, but will be helpful if you ask."
2,-,Tzatziki sauce on 10 million
4,-,Finger licking good
4,-,They always have great merchandise at great prices
6,-,The latest and one of the best in chicago. Gokd choices from known chefs and restaurants. 2 blocks from Politan which is the opposite with less known chefs but equally interesting.  What about all the other spots?
1,-,Every thing about this place is amazing
7,-,Food/drink quality is not worth the prices on the menu.
5,-,Good selection and staff
7,-,"Great bar and restaurant. Selection of beers brewed on premise far outnumber what you can get in stores so it is an awesome place to try out brews you can't get elsewhere. Had a brunch special and salad, both were excellent. Will definitely go back. Only slight downside was glasses that were available for sale are quite pricey."
6,-,"If I was 30 years younger, what a great spot for an assignation.   Strong hard liquor, limited beer and wine, and light food. Spectacular mood lighting in an already dark space. WHAT A COMBO. if your uner 40 get over there."
8,-,"Beer line up is just ok.  The bartender was cool.  This is just a weird spot to have as a venue.  The ""stage"" kind of wraps around the front and side of the place.  Right when you walk in the door, BOOM, there's a loud band playing right in your face!!"
5,-,Amazing food and I didn't feel gross after eating a Torta
8,-,"Fantastic cocktails.  I've never had the food, but it the menu sounds good.  The bar staff is always killer.  Great beer list."
7,-,"Tried the spicy tan tan men noodles. They were a bit firmer than I expected, but still a cut above most noodle places. Broth and pork were both excellent. Gyoza was good, and the black sesame ice cream was a nice finish."
3,-,Nice small downtown bar. Very crowded in here. Popular place I guess. I had fun.
3,-,Had to stop in for some frozen dog food.
2,-,Kinda small but good Bavarian options
3,-,Cool place but due to Covid didn't go inside.next trip hopefully.
1,-,Bartender tonight was in ready rude for just opening back up . Patrons are cool.
3,-,Let me say first off this place is awesome! I spent for 6:30pm-9:00pm in both buildings. All ya need is quarters and the night is good. So many choices of machines both current style and retro. It is so worth the time to take a few hours to stop here and enjoy yourself. It's really a no pressure kind of day. Have fun all.
6,-,A complete knife shop.  A wide range of styles and types. Plus quick knife sharpening and other services.  A small assortment of other kitchen items
2,-,"This place is awesome, very authentic. The patio is very chill, they have a garden next door they bring in the herbs and veggies from!"
6,-,an old world bakery with a typical assortment of baked goods. the coffee shop is very good. i recommend it when in the area
7,-,Fun when closed off for the annual micro brew fest.
6,-,An intriguing place. Very cozy and strange. Average coffees
7,-,"I have only had the bahn might sandwiches and tacos, but they are sublime. Fillings are creative and match vegetables very well with the grilled meats."
1,-,Best dominoes I have ever dealt with
2,-,Good vibe inside the aloft hotel. La colombe nitro coffee on tap and other great coffee choices. Breakfast menu is simple but everything is solid.
6,-,"Great concept with a food market, a coffee bar and a regular restaurant.  I have spent time in all three on different visits.  The coffee bar is good with choices. The restaurant is good, but not as special of the choices in the neigherhood."
2,-,"Nice place for healthy Greek food then you can move onto the bar next door which feels like a night club, cool vibe."
4,-,Great place to have a good time
4,-,Good times
4,-,Great prices
3,-,"Went to pick out a computer, great selection."
7,-,"Have not tried the tacos yet, but the cemitas are good, a slightly simpler take on a torta with sesame seed buns and slow cooked meat fillings."
6,-,A very good barbecue spot in trendy west loop.
1,-,Great service bad quality
3,-,"Light dinner tonight. Just a bowl of tomato soup, which was pretty good."
1,-,Under construction
2,-,The Boys Are Buzzin!
2,-,Decent bar with darts in old town
3,-,Quick trip for essential items.
7,-,"If you are looking for a place that has deep dish slices, this is one of the best."
4,-,It was simply a beautiful day despite the rain
7,-,No waiting at this medium sized Japanese restaurant on a Wednesday. The specialty is the ramen and we tried the tonkatsu and spicy garlic. The tonkatsu broth was excellent. Rich and flavorful. Portions are not as large as some other places but still plenty. The kimchi spring rolls are also really tasty.
1,-,Very nice staff very neat place
3,-,"Yep, please keep this amazing place a secret. It's very small and has limited seating. Each order cooked in the order its received, slow and freshly made.  Burgers are definitely their signature items with handmade milkshakes and malts coming in a strong second. So now you know to keep quiet so the lo g lines are avoided."
6,-,A good but not great shellfish restaurant.  Good happy hour daily
5,-,Every bad rumor you've heard about here is true.
7,-,Great service and a really nice outdoor patio.
6,-,A good spot for drinking coffee or something stronger. It is open and airy
7,-,"Usually good, but meat has been dry several times."
5,-,Good coffee and produce for your day
3,-,Always enjoy stopping here for a bite to eat. Food is freshly prepared when ordered. Selection is beyond enough to satisfy anyone's tastes. New to this location they are now offering delivery to either your home or office. Cannot go wrong with that kind of service. Always save a little room for some of their pastry items.
4,-,Very good service just be patient
1,-,"(Translated by Google) Goegouse!

(Original)
Goegouse !"
7,-,"Tasty buffet, but no signs on anything. Service is lacking, you need to take initiative to get attention."
2,-,Bass hits heavyyyy here
6,-,A good place for a simple lunch or early dinner
4,-,Great selection
3,-,"Tavern treat pub style foods. Return trip today, ordering the Italian Beef Pony Shoe with a white cheese sauce. Yum!"
5,-,Easily in the top 4 coffee spots in chicago
1,-,It's a mall
9,-,It's McDonald's
8,-,"They have lots of supplies for your pets, PLUS it's right by my apartment."
3,-,Went there looking for accessories for a new apartment
7,-,Pretty undistinguished sports bar with surprisingly good beer selection.
2,-,"Cheese curds, fried pickles, a meatball sub setup with a pile of booze. If you don’t like this place you ain’t LIVIN I’ll tell you"
2,-,Best burger in Chicago with a very cozy eclectic vibe. The bacon starter is worth trying to
7,-,"Good, but not amazing Italian. Salad and octopus starters were very good. Main pasta dishes were ok, pesto was a bit flavorless. Ambiance and service were good."
7,-,"Atmosphere is very cool and is worth seeing, but the classic upside down pizza just wasn't that interesting in a city full of similar pan and deep dish options."
3,-,Stopped in for some Thai food and went to Simply Fair.
4,-,OMG the food was outstanding
2,-,"Came here after volleyball matches and was always a good vibe, there wings are really good. Good beer selection too!"
9,-,"Amazing local pizza spot! Great deals, great selection of micro brews."
1,-,Pretty view great patrons.  Bartender wasn't nice at all .
6,-,"4 stars because it's a meinl, with upscale pastries and good coffee. Otherwise 3 stars because it's way small and not conducive to staying for very long"
6,-,A happening pkace. Sat between 2 tiki couples and was introduced to the world of tiki. Its coming back.  Three dots and a dash is morse code for V. Have all the drinks with s po ecial glasses which are for sale.  Serve polynesian bar food
6,-,Always reliable with better than fast casual food.  All the locations are reliable
7,-,"Good tortas, seem a bit smaller than at xoco."
3,-,Very nice find. Lots of booths here with some really nice items. Looking for Christmas blowmolds.
7,-,Knowledgeable staff and support for all manner of digital and film cameras.
6,-,Humboldt Park Boat House is back from the dead.  Lovely spot with a small meal and drinks place. Went for Latin Jazz the last two years
2,-,"Best dive bar in bucktown, super cheap drinks and good bar chat"
3,-,Tried getting breakfast today at 6:27am to find the doors locked. Sad that they don't open until 7:00am
3,-,Selections are just amazing!
2,-,Nice patio great beer selection!!
5,-,Great coffee friendly staff
4,-,The food is awesome and you get a lot for your money
4,-,Great food
7,-,"Same crew as Nuevo Leon opened a much nicer looking restaurant directly across the street. A stunning building with small upstairs for extra seating. The food just didn't stand out that much. The specialty is skewers which were decent, but nothing special. The vegetables were almost raw, although the steak was quite tasty. Cash only."
6,-,A good little book store in wicker park. They have events and they sell used along with new books
7,-,"Typical target, only one floor so not as spacious as some other locations."
9,-,"A lot smaller than its made out to be in commercials. Decent selection, lots of guns/ammo & related. Not a very big camping selection. Easy to get in and out of."
7,-,Outrageous drink prices. Not remotely commensurate with the service or atmosphere.
4,-,The food was great as always
7,-,Cool space on the 3rd floor of the Renaissance Hotel. Food and service were fine - the whole 'twist on bar food' by making things more expensive and adding one or two new ingredients isn't that creative. They cram way too many people into the space.
6,-,A good breakfast brunch restaurant interesting menu.
3,-,Looking for a string of bells. They had them.
6,-,An exceptional fountain that i zza worth seeing.  It is also in the heart of grant park
5,-,Good food for the price. Friendly staff
9,-,"Great food! Large selection of beer, great custom cocktails! Highly recommended!"
7,-,"Cool new Indian place in the West Loop. Great flavors and friendly service. The paper/plastic serving plates and utensils aren't really in line with the prices, kind of stuck between fast food takeout and nicer sit down."
4,-,Still vibrant despite the major closures
2,-,This place looks like restoration hardware
3,-,Quick stop for breakfast. Biscuits and gravy. Had to check out the desserts.
2,-,I go here after eataly to get a shake and the service is always great!
7,-,"A few really really outstanding installations, the rest are interesting but not essential. The mirror room is awesome but 60 seconds is not enough time."
2,-,Best 5 am bar in Chicago
4,-,"(Translated by Google) Ooooowweeee

(Original)
Ooooowweeee"
1,-,Love this place
3,-,Occasionally this is a quick grocery store trip for shopping at county market. Not my preference of grocery stores I prefer Schnucks.
7,-,"Logistics in the store aren't that great, but the quality and prices are very good, better than any chain grocery."
3,-,"Good stuff ,just had the tacos"
3,-,"Beer was good, hamburger was overcooked. Today is Sunday and I think they served it on last mondays bun. Mine was very dry, hard and stale. Tacos not bad at all. Cheddar mashed potatoes pretty good. Why do ya ask how you want your burger cooked if you not going to pay attention.
White Castle does it better without trying"
3,-,"1st time visit, outdoor social correct distancing. Had the Mushroom Swiss burger and the eggplant fries. 1st the fries were absolutely perfect,  tasty and crunchy. 2nd the burger....1st bite thought I was eating a Burger King Whopper. Wont order a burger again."
